exp,algo,scale,hostname,recv_drop,recv_errs,recv_packets,send_bytes,send_drop,send_errs,send_packets,timestamp
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,6242,35289629,0,0,6986,1.513125492564751E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5958,42753749,0,0,6218,1.513125492564867E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4938,35116760,0,0,5638,1.513125492569301E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5200,28129539,0,0,5900,1.513125497564353E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5742,30075374,0,0,5981,1.513125497564469E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4542,26249331,0,0,4963,1.513125497566337E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5105,37161465,0,0,5482,1.513125497568913E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4727,28087056,0,0,5064,1.513125497569717E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5494,34251244,0,0,5586,1.513125497570053E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4324,23665978,0,0,4850,1.51312549757485E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4870,33454947,0,0,5516,1.513125502570003E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5245,43489166,0,0,5489,1.513125502570423E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5294,31855317,0,0,5853,1.513125502571753E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4284,33684938,0,0,4866,1.513125502572137E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5485,38605385,0,0,5690,1.513125502573518E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4625,33376709,0,0,4991,1.513125502575267E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4091,33162578,0,0,4449,1.513125502580393E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5433,30157742,0,0,5612,1.513125507573224E9
