exp,algo,scale,hostname,load5,load10,load15,procs,timestamp
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,4.6,8.25,10.27,679,1.513125537604364E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.84,5.7,6.57,680,1.513125537605966E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,3.83,5.23,6.16,683,1.513125537611323E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.27,5.5,6.36,743,1.513125537612648E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.65,5.52,6.13,772,1.513125542601249E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.07,5.31,6.35,680,1.51312554260143E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.55,5.78,6.4,681,1.513125542602561E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.69,5.66,6.55,680,1.51312554260852E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,4.47,8.17,10.23,679,1.513125542609873E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,3.77,5.2,6.14,684,1.513125542613538E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,3.92,5.41,6.32,743,1.513125542616144E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.76,5.54,6.14,772,1.513125547605287E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.54,5.39,6.37,680,1.513125547605666E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.83,5.83,6.42,681,1.513125547607838E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.32,5.56,6.52,680,1.513125547614158E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,4.35,8.08,10.2,679,1.513125547615432E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.18,5.26,6.16,684,1.513125547617532E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,3.61,5.32,6.29,743,1.513125547620246E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.3,5.45,6.1,772,1.513125552609348E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.9,5.45,6.38,680,1.513125552610035E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.6,5.78,6.4,681,1.513125552613394E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.13,5.5,6.49,680,1.513125552619799E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,4.0,7.95,10.14,679,1.513125552620994E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,3.32,5.23,6.25,743,1.513125552621884E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.33,5.27,6.16,684,1.513125552623283E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.75,5.41,6.37,678,1.513125557613804E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.87,5.36,6.07,769,1.513125557615038E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.87,5.84,6.41,679,1.513125557615969E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.28,5.51,6.49,678,1.513125557624756E9
